Ref,Old Error,GQL,Cause,Status
CDC-001,Given ChangeIdentifier describes a transaction that hasn't yet occurred,52N30,,Neo.TransientError.ChangeDataCapture.FutureIdentifier
CDC-002,Invalid change identifier,52N16,52N26,Neo.ClientError.ChangeDataCapture.InvalidIdentifier
CDC-003,Given change identifier does not belong to this database,52N16,52N31,Neo.ClientError.ChangeDataCapture.InvalidIdentifier
CDC-004,Given ChangeIdentifier has an invalid sequence number: $internalId,52N16,52N32,Neo.ClientError.ChangeDataCapture.InvalidIdentifier
CDC-005,Given ChangeIdentifier describes a transaction that hasn't yet occurred,52N30,,Neo.ClientError.ChangeDataCapture.InvalidIdentifier
CDC-006,Unable to find the transaction entry for the given change identifier,52N16,52N28,Neo.ClientError.ChangeDataCapture.InvalidIdentifier
CDC-007,Given ChangeIdentifier describes a transaction that occurred before any enrichment records exist,52N16,52N29,Neo.ClientError.ChangeDataCapture.InvalidIdentifier
CDC-008,Change Data Capture is not currently enabled for this database [$database],51N68,,Neo.DatabaseError.ChangeDataCapture.Disabled
CDC-009,Change Data Capture is not currently enabled for this database ,51N68,,Neo.DatabaseError.ChangeDataCapture.Disabled
CDC-010,Cannot find a start position in the logs,52N38,,Neo.DatabaseError.ChangeDataCapture.Disabled
CDC-011,The log scanner is no longer active,52N39,,Neo.DatabaseError.ChangeDataCapture.Disabled
CDC-013,"Unexpected selector type '$type' at $in, expected selector to be a node selector",51N67,,Neo.ClientError.Statement.ArgumentError
CDC-014,The commit timestamp for the provided transaction ID does not match the one in the transaction log,52N16,52N27,Neo.ClientError.Statement.ArgumentError
CLU-001,Failed to acquire lease since it was taken by another candidate,08N07,,Neo.ClientError.Cluster.NotALeader
CLU-002,Local instance lost lease.,08N07,,Neo.ClientError.Cluster.NotALeader
CLU-003,Should only attempt to acquire lease when leader.,08N07,,Neo.ClientError.Cluster.NotALeader
CLU-004,This Neo4j instance is read only for all databases,08N08,,Neo.ClientError.General.ForbiddenOnReadOnlyDatabase
CLU-005,Transactions cannot be committed in a read-only Neo4j database,08N08,,Neo.ClientError.General.ForbiddenOnReadOnlyDatabase
CLU-006,No write operations are allowed on this database. This is a read only Neo4j instance.,08N08,,Neo.ClientError.General.ForbiddenOnReadOnlyDatabase
CLU-007,Failed recovery on startup,51N32,,Neo.ClientError.Routing.DbmsInPanic
CLU-008,Catchup failed,51N32,,Neo.ClientError.Routing.DbmsInPanic
CLU-009,The system database panicked,51N32,,Neo.ClientError.Routing.DbmsInPanic
